,movie_id,titile,comment_id,positive,negative
282,2403,просто супер смотрел и кушал ,14221,0.6584275364875793,0.0159163940697908
839,2403,екшон є. Але сюжет якась маячня. що далі не зрозуміло. типу відкритий кінець?,13644,0.0251888446509838,0.1824355274438858
1148,2403,"отличный фильм. советую к просмотру тех, кто ищет что то свежее и интересное",13321,0.6723417043685913,0.0216253343969583
2136,2403,"Отличный фильм, советую всем.",12317,0.8558611869812012,0.0120637798681855
2572,2403,"фильм очень понравился, хорошо проработанная графика, все важные моменты замедляются и это очень радует глаз.Честно, для просмотра семьёй или с друзьями фильм подойдёт! ",11861,0.7490972280502319,0.0503406263887882
3289,2403,"фильм бомба, советую всем. Смотрела на одном дыхании))) ",11105,0.59267657995224,0.0109969424083828
4002,2403,"очень классный фильм, всей семьёй смотрели, очень советую",10338,0.8840492963790894,0.0145135829225182
4058,2403,мне понравилось необычный фильм. просто отдохнуть не думал ,10280,0.8519628047943115,0.2450950145721435
4103,2403,"фильм просто не реальный, советую все его посмотреть",10228,0.4843900501728058,0.0330959782004356
