,movie_id,movie_title,titile,comment_id,positive,negative,speech,neutral,skip
0,13378,Смурфики 2,кто задел Смурфики 2,14541,0,0,0,1.0000100135803223,0.0013770253863185644
1,18035,Инструкция по оплате sweet.tv через терминал,"Спасибо, все понятно",14542,0,0,0.9946250915527344,0.0,0.004765199031680822
2,17759,Новый Человек-паук: Высокое напряжение,"Обидно, что из людей, которые не могут прийнять что то новое, фильм провалился... А так отличное кино, рекомендую хотя бы ознакомится!",14543,0.3557848632335663,0,0,0.287777841091156,0.0
3,20722,Современный телевизор всего за 767 грн!,"Дякую за приставку, працює добре",14544,0,0,0.3702353835105896,0.0,0.40734341740608215
4,20326,Красная черепаха,як на мене зробити мульт без слів но щоб співчував героям це круто,14540,0.06755668669939041,0,0,0.0,0.9850529432296753
5,15553,Обливион,якісна фантастика! Рекомендую!,14539,0.4765896201133728,0,0,0.0,0.4688006341457367
6,20736,Отверженные,Виктор Гюго гений! Книга выше всяких похвал! после книги фильм немного скучноват и скуден. Кто умеет читать и старше 20 лучше сначала прочитайте книгу,14538,0,0,0,0.6297846436500549,0.14415885508060455
7,21915,Рататуй,пане з ніком гість в франції можна ставати максимум 3 звезди.,14537,0,0,0,0.14415885508060455,0.6584275364875793
8,22468,Первая ведьма,imi place filmul,14526,0,0,0,0.979677677154541,0.16886694729328156
9,19186,Пульс,Хороший фільм. Рекомендую.,14525,0.538993239402771,0,0,0.320831298828125,0.0
10,8952,Живое,Хня,14524,0,0,0,0.6513648629188538,0.03964884206652641
11,11382,Эмоджи фильм,Дизлайк,14523,0,0,0,0.998309314250946,0.0980893224477768
12,14663,Мальчики краше цветов,Это одна из лучших дорам! Я ее просто обожаю! Дарит кучу эмоций! ????????,14522,0.9324633479118347,0,0,0.0,0.08036746829748154
13,3820,Славные парни,Классный фильм! советую посмотреть!) ,14521,0.9863731861114502,0,0,0.03309597820043564,0.0
14,17916,Крид 2,крутий фильм),14519,0.9697954058647156,0,0,0.11597072333097458,0.0
15,9037,Такси 2,хорошая програма,14517,0.5698626637458801,0,0,0.06009664759039879,0.0
16,19186,Пульс,Неймовірно сильний фільм! Дивилася на одному диханні! Дуже рекомендую!,14516,0.16027602553367615,0,0,0.0,0.585111141204834
17,20040,Форрест Гамп,Ufihhibiviv,14515,0.03022458776831627,0,0,0.982567548751831,0.0
18,22236,Район №9,он очень крутой ,14514,0.9967369437217712,0,0,0.01283121295273304,0.0
19,20573,После. Глава 2,Найкращий фільм ??,14513,0,0,0,0.9416641592979431,0.9820237755775452
20,21012,Бесславные крепостные,режисер обкуривя? що за маячня?,14512,0,0,0,0.9399233460426331,0.44553956389427185
21,14090,Чудо,"Отличный фильм. Его нужно показывать детям, очень трогательный и поучительный.",14511,0.9219318628311157,0,0,0.09535945951938629,0.0
22,20686,Взвод,Cjvivjvigig,14510,0.053413331508636475,0,0,0.9626831412315369,0.0
23,10350,Взрывная блондинка,Классный фильм!,14508,1.0000100135803223,0,0,0.0032830648124217987,0.0
24,20705,Борщ. Секретный ингредиент,ок дюже смачный фильму,14507,0.23935934901237488,0,0,0.0,0.22816647589206696
25,21095,День сурка,мне нравится.,14506,0.8080772161483765,0,0,0.5078218579292297,0.0
26,22181,Назови меня своим именем,чіпляє до глибини душі,14505,0,0,0,0.38492217659950256,0.4765896201133728
27,20083,Солдаты неудачи,пойдет фильмец,14504,0.21734751760959625,0,0,0.9924327731132507,0.0
28,14109,Дикий,Без української озвучки дивитись не приємно.,14503,0,0,0,0.4225146472454071,0.38492217659950256
29,11166,Октябрьское небо,очень впечатлил,14502,0.9450047016143799,0,0,0.020974241197109222,0.0
30,17753,Монстры на каникулах 3: Море зовёт,ето офигенно ????????????????????????????,14501,0,0.2509227991104126,0,0.0,0.14415885508060455
31,8917,Девушка в поезде,"фільм вартий уваги і часу, гра акторів на тверду 4(із 5)
Сам фільм 9з 10",14500,0,0,0,0.7431780099868774,0.44553956389427185
32,20736,Отверженные,Фільм вартий перегляду,14499,0,0,0,0.9679093360900879,0.3923468291759491
33,20584,Пушки Акимбо,просто відбірний кал...,14498,0,0,0,0.3998216390609741,0.3557848632335663
34,736,Области тьмы,Film easy nicely ??,14497,0,0,0,0.9995927214622498,0.005921069998294115
35,19186,Пульс,Неведіться хочуть за перегляд 150грн.,14496,0,0,0,0.9648651480674744,0.09269777685403824
36,21012,Бесславные крепостные,"Дуже прикольний фільм,дивився з насолодою!!!??????",14495,0,0.3923468291759491,0,0.0,0.9724247455596924
37,1847,На грани,как без интернета просмотреть скачанные фильмы??? Кто подскажет???,14494,0,0.014073628932237625,0,0.9890230894088745,0.0
38,20667,Домой,"Дуже зворушливий фільм, і коли вже викінчаться поневіряння кримськотатарського народу.",14493,0,0.16027602553367615,0,0.0,0.9124462008476257
39,19186,Пульс,Диб'ли навіщо робити все платно .Заробляють над людьми .,14492,0,0.5698626637458801,0,0.0,0.3998216390609741
40,17809,Человек-паук: Через вселенные,Однозначно шикарний мульт. я,14491,0.538993239402771,0,0,0.20690405368804932,0.0
41,21012,Бесславные крепостные,"може і тепер цю нечисть  що грабуе  Україну,так само зробити з ними, ",14490,0,0.3923468291759491,0,0.0,0.8311530351638794
42,21144,Доктор Хэрроу,"На сайті написано, що фільм виробництва Австрія-США.  Насправді ж фільм виробництва Австралія-США. ))",14489,0,0,0,0.59267657995224,0.3775506913661957
43,20667,Домой,Дякую.,14488,0,0,0,0.18714269995689392,0.6370407938957214
