,movie_id,titile,comment_id,positive,negative
2085,19970,эээ эхб более ДД э ООО ООО лэхбх эээ юд ЖЖ ЖЖ ООО эээ бл ДД ООО эээ жэээ,12370,0.0926977768540382,0.9763205647468568
2366,19970,"полный бред ,в 85 году в ссср гелендваген ,новые бмв ,костюмы новые ,фильм полный бред ,сюжет не кудышний",12071,0.0550152920186519,0.4301573634147644
5459,19970,"Починається з фантастики: 85-90 роки, Рассея, посольський зачовганий ЖИГУЛЬ з телефоном, Геліки, ноутбук з безпровідним інтернетом, гаспада і дами. А так ніби не погане кіно. ",8763,0.0460439100861549,0.2120788097381591
5522,19970,Очень тормозит Именно этот фильм!(((( Остальные нормально грузятся! (((((((((((((((((,8631,0.0236994680017232,0.8311530351638794
5858,19970,Очень классно просто сидишь и смотришь свои любимые фильмы,8320,0.9946250915527344,0.0159163940697908
6000,19970,Не дивлюсь російське гімно. більше не рекомендуйте.,8175,0.0373368822038173,0.0695517510175705
6001,19970,дивно что указана страна производства Россия. А не Франция и США как есть на самом деле. в осталном такое ,8174,0.0384761877357959,0.4073434174060821
6416,19970,"фильм бредятина редкая, вербовка через интернет в начале 90-х это просто божественно. для нынешнего поколения такое зайдет ????",7729,0.320831298828125,0.1778208613395691
7149,19970,"Дуже сподобався, рекомендую. ",6902,0.0169249139726161,0.0100235687568783
